id,sales
3000888,1.579704072
3000889,0.795166965
3000890,1.097017984
3000891,2.790929409
3000892,2.249141904
3000893,2.893144375
3000894,2.854267638
3000895,3.349855953
3000896,3.737295557
3000897,3.879785061
3000898,3.989522756
3000899,4.07406841
3000900,4.38209081
3000901,4.298793748
3000902,4.068733378
3000903,4.011629852
3000904,3.981363392
3000905,3.779250934
3000906,3.868467832
3000907,3.817913399
3000908,3.80522099
3000909,3.758274898
3000910,3.800721322
3000911,3.715718275
3000912,3.793227164
3000913,3.847481484
3000914,3.761451649
3000915,3.714134513
3000916,3.787844169
3000917,3.804617462
3000918,3.946014027
3000919,3.910147949
3000920,3.889640419
3000921,3.790207878
3000922,3.683866984
3000923,3.622009849
3000924,3.712690142
3000925,3.615120459
3000926,3.639864598
3000927,3.579788559
3000928,3.651968934
3000929,3.701610464
3000930,3.739990497
3000931,3.729986628
3000932,3.720554797
3000933,3.806126437
3000934,3.752967785
3000935,3.67962745
3000936,3.652212438
3000937,3.638476361
3000938,3.567669204
3000939,3.595290188
3000940,3.546726789
3000941,3.528314843
3000942,3.505885532
3000943,3.504575969
3000944,3.450423987
3000945,3.478513792
3000946,3.506360359
3000947,3.455523608
3000948,3.421467185
3000949,3.445324875
3000950,3.439608568
3000951,3.473921211
3000952,3.467352395
3000953,3.428987805
3000954,3.404432062
3000955,3.356870732
3000956,3.335454719
3000957,3.404998336
3000958,3.357073824
3000959,3.4010607
3000960,3.389603396
3000961,3.443938499
3000962,3.484934683
3000963,3.519612085
3000964,3.544058045
3000965,3.552854493
3000966,3.619224096
3000967,3.610702544
3000968,3.570117012
3000969,3.564458275
3000970,3.559953284
3000971,3.518634439
3000972,3.548736219
3000973,3.532697812
3000974,3.525956693
3000975,3.514652995
3000976,3.516352979
3000977,3.488052667
3000978,3.518070716
3000979,3.543096542
3000980,3.515475789
3000981,3.508208499
3000982,3.531623158
3000983,3.539569456
3000984,3.578545777
3000985,3.591921447
3000986,3.575545389
3000987,3.554169118
3000988,3.519849778
3000989,3.49754783
3000990,3.535327023
3000991,3.501436887
3000992,3.518062517
3000993,3.504063801
3000994,3.534315995
3000995,3.559667809
3000996,3.577124032
3000997,3.580130386
3000998,3.579446578
3000999,3.618457923
3001000,3.606571242
3001001,3.576955486
3001002,3.569448727
3001003,3.566097707
3001004,3.536526741
3001005,3.550734541
3001006,3.534370831
3001007,3.525491272
3001008,3.517709052
3001009,3.520561758
3001010,3.497710429
3001011,3.511520345
3001012,3.524340834
3001013,3.500870453
3001014,3.485979015
3001015,3.498550247
3001016,3.497761718
3001017,3.518430519
3001018,3.514480643
3001019,3.497516088
3001020,3.48149143
3001021,3.455695193
3001022,3.441514954
3001023,3.469365326
3001024,3.444041491
3001025,3.454024492
3001026,3.441694311
3001027,3.462586492
3001028,3.478051759
3001029,3.489624813
3001030,3.491466432
3001031,3.490114718
3001032,3.519439789
3001033,3.510541683
